"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"28","","0","Guides page - Content rendering, search and responsiveness","0","0","","0"
"9","","0","Header navigation and branding","0","0","","0"
"3","","0","Homepage marketing content and layout","0","0","","0"
"10","","0","Events page - Content rendering and responsiveness","0","0","","0"
"0","","33","Blogs page - Content rendering, search and responsiveness","0","0","","0"
"11","","0","Website Footer Content and Navigation","0","0","","0"
"11","","0","Contact Us page - Content rendering and form availability","0","0","","0"
