"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180","Navigation menu items redirect correctly -- @1.4 ","","Wed Jan 21 10:42:32 UTC 2026","skipped","Wed Jan 21 10:42:32 UTC 2026","","","",""
"","180","Header navigation menu is visible","","Wed Jan 21 10:42:31 UTC 2026","skipped","Wed Jan 21 10:42:31 UTC 2026","","","",""
"","181","Header adapts to responsive breakpoints -- @1.2 ","","Wed Jan 21 10:42:32 UTC 2026","skipped","Wed Jan 21 10:42:33 UTC 2026","","","",""
"","181","Header adapts to responsive breakpoints -- @1.1 ","","Wed Jan 21 10:42:32 UTC 2026","skipped","Wed Jan 21 10:42:32 UTC 2026","","","",""
"","10133","Header exists and logo is visible","","Wed Jan 21 10:42:21 UTC 2026","skipped","Wed Jan 21 10:42:31 UTC 2026","","","",""
"","181","Navigation menu items redirect correctly -- @1.5 ","","Wed Jan 21 10:42:32 UTC 2026","skipped","Wed Jan 21 10:42:32 UTC 2026","","","",""
"","180","Navigation menu items redirect correctly -- @1.2 ","","Wed Jan 21 10:42:31 UTC 2026","skipped","Wed Jan 21 10:42:32 UTC 2026","","","",""
"","183","Navigation menu items redirect correctly -- @1.3 ","","Wed Jan 21 10:42:32 UTC 2026","skipped","Wed Jan 21 10:42:32 UTC 2026","","","",""
"","181","Navigation menu items redirect correctly -- @1.1 ","","Wed Jan 21 10:42:31 UTC 2026","skipped","Wed Jan 21 10:42:31 UTC 2026","","","",""
