"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Who We Are page - Content rendering, responsiveness, and CTAs","37","0","","0"
"0","","0","Who We Do It For page - Content rendering and responsiveness","66","0","","0"
"0","","0","Contact Us page - Content rendering and form availability","11","0","","0"
"0","","0","Blogs page - Content rendering, search and responsiveness","33","0","","0"
"0","","0","Homepage marketing content and layout","56","0","","0"
"0","","0","Success Stories page - Content rendering, search and responsiveness","21","0","","0"
"0","","0","Header navigation and branding","12","0","","0"
"0","","0","What We Do page - Content rendering, responsiveness, CTAs, and accessibility","36","0","","0"
"0","","0","Events page - Content rendering and responsiveness","10","0","","0"
"0","","0","Guides page - Content rendering, search and responsiveness","28","0","","0"
"0","","0","Website Footer Content and Navigation","11","0","","0"
